source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon,closest_stop_km,closest_train_km,closest_school_km,closest_kinder_km,closest_market_km,closest_hospital_km
sreality,8700000,70,3,0,1,1,0,8,velmi dobre,vybavene,osobni,Praha 9,50.114189,14.485124,0.30039484659399096,0.9152323844274802,0.5346926312782191,0.6639302254290265,0.4164174839084668,0.7240429080445067
sreality,11890000,107,4,0,0,1,0,1,velmi dobre,vybavene,osobni,Brno,49.172001,16.528475,0.2110747248169581,0.9051141747347745,0.4464731231526916,0.18411841584320518,0.40083543007220485,0.48509612233995014
sreality,13138000,70,3,1,1,0,0,2,velmi dobre,vybavene,osobni,Praha,50.077267,14.425838,0.01706050557314871,0.4566792813493585,0.05727156482517477,0.10355005897087666,0.053430984961002584,0.3338890559429284
sreality,12172000,58,2,1,1,0,0,2,velmi dobre,vybavene,osobni,Praha,50.077267,14.425838,0.01706050557314871,0.4566792813493585,0.05727156482517477,0.10355005897087666,0.053430984961002584,0.3338890559429284
sreality,9390000,78,3,1,1,1,0,6,velmi dobre,vybavene,osobni,Praha,50.063831,14.303275,0.20641685504376878,0.39415035684963223,0.22630789737761878,0.11099270374945888,0.29992525108869406,3.008943165406711
sreality,5890000,38,1,1,1,1,1,5,novostavba,vybavene,osobni,Brno,49.199638,16.620007,0.15515644556399283,1.0713141819659209,0.46808323869901464,0.2703675544334886,0.06825188647427712,0.4501028354730851
sreality,18900000,96,3,0,1,1,0,5,velmi dobre,vybavene,osobni,Praha 3,50.083855,14.446884,0.16509389747546685,0.7361986481711031,0.0314897488434775,0.09424274347520754,0.09131880163881001,0.24556565449166368
sreality,11349000,64,2,1,1,1,0,3,novostavba,vybavene,osobni,Praha,50.039669,14.435565,0.09830372900194895,0.9863479329208344,0.7203384406097819,0.1930638413261994,0.07332616458732222,1.0889123837626828
sreality,9490000,68,2,0,0,0,0,3,dobre,vybavene,osobni,Praha 3,50.085194,14.450959,0.20213960801614778,0.8321759135104136,0.07074681619642122,0.30484554915757206,0.03145592862782778,0.37976701599903684
sreality,22900000,114,4,1,1,1,1,1,novostavba,vybavene,osobni,Praha 3,50.082798,14.466343,0.10529874923591988,0.8566146475380726,0.4394318465312905,0.38261027751261106,0.06994586142331087,0.7096275022829225
