type,lat,lon
stop,50.0762863,14.3326182
stop,50.0510701,14.3660158
stop,50.0306277,14.5295271
stop,50.0550449,14.4538689
stop,50.0490431,14.4294675
stop,50.0516381,14.4286087
stop,50.0570852,14.4378322
stop,50.0609014,14.4945296
stop,50.0333704,14.559826
stop,49.6892056,15.2824766
stop,50.8888957,12.7955193
stop,49.2060851,12.6664718
stop,48.6898592,13.5084887
stop,51.0031094,13.6861163
stop,49.5037156,12.539264
stop,49.4775123,12.3501981
stop,48.5753348,13.4784055
stop,48.8748122,13.0233938
stop,49.5366563,17.8444108
stop,50.7969969,12.8958577
stop,49.994034,14.8599606
stop,50.0595456,14.8250346
stop,50.094078,14.417534
stop,50.1081072,14.4408721
stop,49.1743036,16.5343416
stop,49.1661691,16.5586677
stop,50.0873253,14.4525989
stop,50.0351695,14.5628079
stop,49.1690149,16.5666148
stop,49.1713883,16.554581
stop,49.2171666,16.6277661
stop,50.0542047,14.3391934
stop,50.058021,14.3392215
stop,49.1662232,16.5853662
stop,49.1731514,16.5487807
stop,50.0446432,14.3387907
stop,49.1878904,16.6257251
stop,50.0973378,14.4061206
stop,49.2354038,16.5862724
stop,50.0546485,14.3469209
stop,50.0678879,14.4698499
stop,49.2473413,16.5788102
stop,50.1163759,14.4331702
stop,50.0856621,14.4042174
stop,50.0415072,14.3945537
stop,49.1643725,16.5653682
stop,50.0614765,14.4092343
stop,50.120313,14.4388877
stop,50.0988536,14.4387485
stop,50.110483,14.5144426
stop,49.1941246,16.5696957
stop,50.11853,14.26181
stop,50.0574993,14.5835068
stop,50.1088485,14.578611
stop,50.1087028,14.5774841
stop,50.1085996,14.5766393
stop,50.1002204,14.4914067
stop,50.1052771,14.5572831
stop,50.06838,14.4035093
stop,50.1156491,14.4369159
stop,50.1096386,14.4375463
stop,50.0999788,14.4231325
stop,50.1014453,14.3949233
stop,50.0831425,14.3116058
stop,49.989587,14.350507
stop,49.9857999,14.357199
stop,49.5889806,17.2772273
