source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon
sreality,8700000,70,3,0,1,1,0,8,velmi dobre,vybavene,osobni,Praha 9,50.114189,14.485124
sreality,11890000,107,4,0,0,1,0,1,velmi dobre,vybavene,osobni,Brno,49.172001,16.528475
sreality,13138000,70,3,1,1,0,0,2,velmi dobre,vybavene,osobni,Praha,50.077267,14.425838
sreality,12172000,58,2,1,1,0,0,2,velmi dobre,vybavene,osobni,Praha,50.077267,14.425838
sreality,9390000,78,3,1,1,1,0,6,velmi dobre,vybavene,osobni,Praha,50.063831,14.303275
sreality,5890000,38,1,1,1,1,1,5,novostavba,vybavene,osobni,Brno,49.199638,16.620007
sreality,18900000,96,3,0,1,1,0,5,velmi dobre,vybavene,osobni,Praha 3,50.083855,14.446884
sreality,11349000,64,2,1,1,1,0,3,novostavba,vybavene,osobni,Praha,50.039669,14.435565
sreality,9490000,68,2,0,0,0,0,3,dobre,vybavene,osobni,Praha 3,50.085194,14.450959
sreality,22900000,114,4,1,1,1,1,1,novostavba,vybavene,osobni,Praha 3,50.082798,14.466343
sreality,3080000,62,3,0,0,0,1,3,velmi dobre,vybavene,osobni,Liberec,50.939022,15.127942
sreality,5699000,70,3,0,0,1,0,4,velmi dobre,vybavene,osobni,Olomouc,49.582123,17.255695
sreality,8499500,50,2,1,1,0,0,1,velmi dobre,vybavene,osobni,Praha 8,50.115421,14.473253
sreality,10990000,83,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 4,50.025684,14.527186
sreality,12490000,106,3,1,0,1,1,2,velmi dobre,vybavene,osobni,Praha 10,50.051807,14.526802
sreality,6990000,40,2,1,1,0,0,3,velmi dobre,vybavene,osobni,Praha 8,50.115421,14.473253
sreality,32038880,111,4,1,1,1,1,6,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,7290000,58,2,0,0,0,0,1,dobre,vybavene,osobni,Brno,49.204964,16.678133
sreality,14100000,74,3,1,1,0,0,5,velmi dobre,vybavene,osobni,Praha 5,50.076477,14.407201
sreality,9490000,43,2,1,1,1,0,1,velmi dobre,vybavene,osobni,Praha 10,50.070652,14.449091
sreality,14700000,70,2,1,1,1,1,8,novostavba,vybavene,osobni,Praha 3,50.084858,14.469376
sreality,9100000,97,4,0,0,1,0,2,dobre,vybavene,osobni,Praha,50.10453,14.580214
sreality,10799000,71,3,1,1,1,1,5,dobre,vybavene,osobni,Praha 3,50.089382,14.488245
sreality,11099000,66,3,1,0,0,0,4,velmi dobre,vybavene,osobni,Praha 10,50.063641,14.473661
sreality,10000000,81,4,1,1,1,0,2,velmi dobre,vybavene,osobni,Český Krumlov,48.647099,14.2211
sreality,6490000,37,1,0,1,0,1,2,velmi dobre,vybavene,osobni,Praha 4,50.013508,14.399951
sreality,23627360,99,4,1,1,1,1,5,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,39900000,160,4,1,1,1,0,7,velmi dobre,vybavene,osobni,Praha,50.085236,14.427776
sreality,8950000,71,3,1,0,1,0,4,dobre,vybavene,osobni,Praha 9,50.141403,14.514033
