source,id,name,price_czk,area_m2,flat_type,locality,lat,lon,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership
bezrealitky,1014269,Prodej bytu 2+kk,3800000,42,2+kk,"Sídliště II., Netvořice - Netvořice, Středočeský kraj",49.81785,14.5249738,0,0,1,2,dobry,vybaveny,osobni
bezrealitky,1014270,Prodej bytu 3+1,8999999,86,3+1,"Dr. Janského, Černošice - Černošice, Středočeský kraj",49.9409387,14.3279334,0,0,1,1,velmi dobry,nevybaveny,osobni
bezrealitky,1004572,Prodej bytu 3+1,7890000,86,3+1,"Havlíčkova, Pardubice - Pardubice, Pardubický kraj",50.0347155,15.7667926,0,0,1,4,velmi dobry,castecne vybaveny,osobni
bezrealitky,1005816,Prodej bytu 2+kk,8295000,58,2+kk,"Žerotínova, Praha - Žižkov",50.0881443,14.4643813,0,0,0,1,velmi dobry,castecne vybaveny,osobni
bezrealitky,999787,Prodej bytu 3+kk,13200000,80,3+kk,"náměstí Jiřího z Lobkovic, Praha - Vinohrady",50.0769139,14.4660815,1,0,1,5,velmi dobry,castecne vybaveny,osobni
bezrealitky,998325,Prodej bytu 4+1,5600000,77,4+1,"K Jatkám, Blatná - Blatná, Jihočeský kraj",49.4225925,13.884802,1,0,1,2,velmi dobry,castecne vybaveny,osobni
bezrealitky,1010585,Prodej bytu 1+kk,4990000,32,1+kk,"Gallašova, Brno - Štýřice, Jihomoravský kraj",49.1812344,16.5980005,0,0,0,3,velmi dobry,castecne vybaveny,osobni
bezrealitky,1012477,Prodej bytu 2+1,4450000,56,2+1,"Edvarda Beneše, Příbram - Březové Hory, Středočeský kraj",49.6807585,13.9976031,0,0,0,2,velmi dobry,castecne vybaveny,osobni
bezrealitky,1012050,Prodej bytu 1+kk,2590000,34,1+kk,"Palackého, Louny - Louny, Ústecký kraj",50.348621,13.8051278,0,0,1,1,dobry,castecne vybaveny,osobni
bezrealitky,990183,Prodej bytu 3+kk,10285000,86,3+kk,"Ke Tvrzi, Praha - Královice",50.0390519,14.63862,0,0,1,2,novostavba,castecne vybaveny,osobni
bezrealitky,1014245,Prodej bytu 2+1,4650000,51,2+1,"Na Vyhlídce, Boskovice - Boskovice, Jihomoravský kraj",49.4878342,16.6683611,0,0,0,1,velmi dobry,vybaveny,osobni
bezrealitky,865897,Prodej bytu 2+kk,5500000,52,2+kk,"Lavického, Třebíč - Týn u Třebíče, Kraj Vysočina",49.2271163,15.8787501,1,0,1,2,velmi dobry,castecne vybaveny,osobni
bezrealitky,981564,Prodej bytu 2+kk,6749000,44,2+kk,"Daškova, Praha - Modřany",50.0132624,14.423394,1,0,0,2,velmi dobry,castecne vybaveny,osobni
bezrealitky,956007,Prodej bytu 2+1,7650000,69,2+1,"Novákových, Praha - Libeň",50.103169,14.4749514,0,0,0,5,dobry,nevybaveny,osobni
bezrealitky,1012045,Prodej bytu 3+1,9100000,72,3+1,"Boháčova, Praha - Háje",50.0369884,14.5196601,1,0,1,8,dobry,,osobni
bezrealitky,1002269,Prodej bytu 2+kk,7690000,46,2+kk,"Generála Janouška, Praha - Černý Most",50.1059649,14.5730823,1,0,1,2,velmi dobry,castecne vybaveny,osobni
bezrealitky,882272,Prodej bytu 2+kk,9300000,52,2+kk,"Federova, Praha - Kyje",50.1159026,14.5655971,1,0,1,1,velmi dobry,castecne vybaveny,osobni
bezrealitky,983063,Prodej bytu 3+1,5280000,76,3+1,"Kúty, Zlín - Zlín, Zlínský kraj",49.2309176,17.681015,1,0,0,2,dobry,castecne vybaveny,osobni
bezrealitky,1013703,Prodej bytu 3+1,4600000,63,3+1,"Jiřího Herolda, Ostrava - Hrabůvka, Moravskoslezský kraj",49.7832928,18.2539579,1,0,0,4,dobry,nevybaveny,druzstevni
bezrealitky,1003171,Prodej bytu 2+kk,6750000,47,2+kk,"Červený kopec, Brno - Štýřice, Jihomoravský kraj",49.1823642,16.5884822,0,0,1,1,dobry,castecne vybaveny,osobni
bezrealitky,1014224,Prodej bytu 2+kk,2499000,44,2+kk,"Malátova, Městec Králové - Městec Králové, Středočeský kraj",50.204257,15.3022928,0,0,0,2,novostavba,nevybaveny,druzstevni
bezrealitky,991191,Prodej bytu 3+kk,7990000,97,3+kk,"Plzenecká, Plzeň - Plzeň, Plzeňský kraj",49.7377603,13.3919533,1,0,0,1,velmi dobry,castecne vybaveny,osobni
bezrealitky,1010975,Prodej bytu 2+kk,6640000,43,2+kk,"Kurčatovova, Praha - Petrovice",50.0334329,14.5642109,1,0,1,4,dobry,,osobni
bezrealitky,1014035,Prodej bytu 2+1,2900000,51,2+1,"9. května, Chvaletice - Telčice, Pardubický kraj",50.0339197,15.4138397,0,0,0,2,dobry,vybaveny,osobni
bezrealitky,1014079,Prodej bytu 4+1,299000,100,4+1,Landshut Landshut Bayern 84032,48.55389,12.12803,0,1,1,0,dobry,,
bezrealitky,999739,Prodej bytu 3+kk,11490000,69,3+kk,"Přímětická, Praha - Michle",50.0468373,14.4485922,1,0,0,5,po rekonstrukci,,osobni
bezrealitky,996577,Prodej bytu 2+kk,5990000,43,2+kk,"Hořelické náměstí, Rudná - Hořelice, Středočeský kraj",50.0262913,14.2232075,0,0,1,1,dobry,,osobni
bezrealitky,1012038,Prodej bytu 3+1,2900000,76,3+1,"Jindřicha Plachty, Ústí nad Labem - Mojžíř, Ústecký kraj",50.6802511,14.1183456,1,0,1,3,velmi dobry,,osobni
