source,name,price_czk,area_m2,flat_type,locality,lat,lon,has_lift,has_balcony,has_parking,floor,condition,furnished
idnes,Prodej bytu 2+kk 47 m²,1261400,47,2+kk,Kladno,50.14733570065366,14.102850226297507,1,1,1,3,novostavba,nevybaveny
idnes,Prodej bytu 3+kk 73 m²,1651692,73,3+kk,Kladno,50.14733570065366,14.102850226297507,1,1,1,1,novostavba,nevybaveny
idnes,Prodej bytu 2+kk 42 m²,1959440,42,2+kk,"Trmice, okres Ústí nad Labem",50.64286237392163,13.994491384475156,1,0,0,9,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 1+1 67 m²,3990000,67,1+1,"Lomnice nad Popelkou, okres Semily",50.53062462398629,15.373409774578523,0,0,0,,po rekonstrukci,nevybaveny
idnes,Prodej bytu 2+kk 62 m²,7300000,62,2+kk,"Spáčilova, Brno - Černovice",49.1868303727,16.6404251189,0,0,0,2,dobrý stav,
idnes,Prodej bytu 1+kk 28 m²,897000,28,1+kk,Hodonín,48.848929733981855,17.132455588611556,1,0,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 3+kk 80 m²,13490000,80,3+kk,"Kumpoštova, Brno - Sadová",49.2301272722,16.6071846102,1,1,0,1,velmi dobrý stav,
idnes,Prodej bytu 3+kk 95 m²,10990000,95,3+kk,"Zborovská, Brno - Žabovřesky",49.2123838979,16.5854771994,0,0,0,1,dobrý stav,
idnes,Prodej bytu 2+1 72 m²,1476000,72,2+1,"Lomnice nad Popelkou, okres Semily",50.53062462398629,15.373409774578523,0,0,0,,po rekonstrukci,nevybaveny
idnes,Prodej bytu 3+1 70 m²,,70,3+1,"Na Fojtství, Ostrava - Hrabůvka",49.7904811111,18.26872,1,1,0,5,před rekonstrukcí,nevybaveny
idnes,Prodej bytu 1+kk 24 m²,1908130,24,1+kk,Praha 10,50.0845518563,14.4177812144,1,1,0,,ve výstavbě,nevybaveny
idnes,Prodej bytu 1+kk 33 m²,7500000,33,1+kk,"Toufarova, Praha 5 - Stodůlky",50.0430412868668,14.313431701918915,1,1,0,1,novostavba,vybaveny
idnes,Prodej bytu 4+kk 113 m²,9290000,113,4+kk,"Harrachov, okres Jablonec nad Nisou",50.7720864034,15.4314123833,0,1,1,,velmi dobrý stav,vybaveny
idnes,Prodej bytu 1+kk 20 m²,1249500,20,1+kk,"Trmice, okres Ústí nad Labem",50.64286237392163,13.994491384475156,1,0,0,9,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+1 72 m²,7290000,72,3+1,"Hraniční, Olomouc - Nová Ulice",49.5779759421,17.2331929618,1,1,0,2,po rekonstrukci,
idnes,Prodej bytu 3+1 62 m²,3080000,62,3+1,"Krásný Les, okres Liberec",50.9390221,15.1279421,0,0,0,2,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+1 47 m²,3690000,47,2+1,"Masarykova, Nové Město na Moravě, okres Žďár nad Sázavou",49.5640675,16.0785338,1,0,0,3,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+1 96 m²,18900000,96,3+1,"Krásova, Praha 3 - Žižkov",50.0838538,14.446884,1,1,0,4,velmi dobrý stav,vybaveny
idnes,Prodej bytu 3+kk 106 m²,16995000,106,3+kk,"Strakonická, Praha 5 - Smíchov",50.0645968381,14.4102041116,1,1,0,6,novostavba,
idnes,Prodej bytu 2+1 63 m²,4790000,63,2+1,"nábřeží Jana Palacha, Karlovy Vary",50.2349559,12.8709366,0,0,0,5,velmi dobrý stav,
idnes,Prodej bytu 3+1 70 m²,5699000,70,3+1,"Českobratrská, Olomouc - Nové Sady",49.582122,17.255695,0,1,0,3,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 2+kk 60 m²,5750000,60,2+kk,Břeclav,48.758962591,16.8820414632,0,1,0,1,po rekonstrukci,
idnes,Prodej bytu 3+kk 83 m²,10990000,83,3+kk,"Jurkovičova, Praha 4 - Háje",50.026876991087796,14.529858427046046,1,1,0,1,novostavba,castecne vybaveny
idnes,Prodej bytu 3+kk 95 m²,15190000,95,3+kk,"Na Laurové, Praha 5 - Smíchov",50.0609677,14.398317,1,1,0,2,novostavba,nevybaveny
idnes,Prodej bytu 4+kk 114 m²,22900000,114,4+kk,"Olšanská, Praha 3 - Žižkov",50.0827974233,14.4663430943,1,1,0,1,novostavba,nevybaveny
idnes,Prodej bytu 2+kk 50 m²,8499500,50,2+kk,"V zahradách, Praha 8 - Libeň",50.1154230556,14.4732541667,1,0,0,1,po rekonstrukci,nevybaveny
idnes,Prodej bytu 1+kk 37 m²,4250000,37,1+kk,Břeclav,48.758962591,16.8820414632,0,1,0,1,po rekonstrukci,
idnes,Prodej bytu 2+kk 62 m²,5620000,62,2+kk,Břeclav,48.758962591,16.8820414632,0,0,0,3,po rekonstrukci,
idnes,Prodej bytu 1+1 45 m²,7790000,45,1+1,"Osadní, Praha 7 - Holešovice",50.1029132476,14.4469176448,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 2+1 50 m²,3990000,50,2+1,"Horova, Ústí nad Labem - Ústí nad Labem-centrum",50.6622358,14.0360461,0,1,0,1,velmi dobrý stav,
idnes,Prodej bytu 4+kk 111 m²,17250000,111,4+kk,"Pobřežní, Praha 8 - Karlín",50.0934978543,14.4459187372,0,0,0,4,před rekonstrukcí,castecne vybaveny
idnes,Prodej bytu 2+kk 40 m²,6990000,40,2+kk,"V zahradách, Praha 8 - Libeň",50.1154230556,14.4732541667,1,0,0,2,po rekonstrukci,nevybaveny
idnes,Prodej bytu 3+1 81 m²,5280000,81,3+1,"Na Lani, Nový Jičín - Loučka",49.591806,17.988907,1,1,0,1,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 2+1 58 m²,7290000,58,2+1,"Bartákova, Brno - Líšeň",49.205023472707076,16.67803096939503,0,0,0,,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 3+1 72 m²,6490000,72,3+1,"Na Hrázi, Trubín, okres Beroun",49.942681728,14.00237576,0,1,1,1,dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+kk 43 m²,9490000,43,2+kk,"Černomořská, Praha 10 - Vršovice",50.0706504316,14.4490913454,1,1,0,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 3+kk 86 m²,15400000,86,3+kk,"Vinohradská, Praha 2 - Vinohrady",50.07702,14.44095,1,0,0,2,po rekonstrukci,nevybaveny
idnes,Prodej bytu 1+kk 47 m²,4190000,47,1+kk,"Frymburk - Kovářov, okres Český Krumlov",48.6872084,14.1213302,0,1,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+1 52 m²,1490000,52,2+1,"Zelená, Aš, okres Cheb",50.2222315,12.1810151,0,0,0,2,velmi dobrý stav,
idnes,Prodej bytu 4+1 97 m²,9100000,97,4+1,"Vybíralova, Praha 9 - Černý Most",50.1041838,14.579685169,0,1,0,1,dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+1 50 m²,4990000,50,2+1,"Sídliště BSS, Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem, okres Praha-východ",50.189144,14.648046,0,0,0,,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+kk 86 m²,15400000,86,3+kk,"Vinohradská, Praha 2 - Vinohrady",50.077021427244475,14.44094674405612,1,0,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+1 89 m²,13783000,89,3+1,"Zborovská, Praha 5 - Smíchov",50.0726469,14.408483,1,0,0,3,velmi dobrý stav,
idnes,Prodej bytu 2+kk 88 m²,8200000,88,2+kk,"náměstí Svobody, Modřice, okres Brno-venkov",49.1279337535,16.617655629,0,1,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+kk 40 m²,2989000,40,2+kk,"Husova, Přerov - Přerov I-Město",49.44796701,17.44571472,0,0,0,2,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 4+1 135 m²,17500000,135,4+1,"Erbenova, Brno - Černá Pole",49.2092205,16.6106628,0,1,0,2,po rekonstrukci,
idnes,Prodej bytu 2+kk 61 m²,8350000,61,2+kk,"Škvorecká, Úvaly, okres Praha-východ",50.0689959687,14.7333252178,1,1,0,2,novostavba,nevybaveny
idnes,Prodej bytu 2+1 43 m²,3287550,43,2+1,"Na Valtické, Břeclav - Charvátská Nová Ves",48.7585059,16.8499938,0,0,0,5,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 4+kk 99 m²,20020727,99,4+kk,"Komárovská, Brno - Komárov",49.1799517,16.619516,1,1,0,5,ve výstavbě,
idnes,Prodej bytu 3+1 90 m²,,90,3+1,"Janovského, Praha 7 - Holešovice",50.1003182,14.4344827,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 2+kk 56 m²,8590000,56,2+kk,"Holubova, Horoměřice, okres Praha-západ",50.1363637337,14.3336667022,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 3+kk 70 m²,7299000,70,3+kk,"Mostecká, Kladno - Kročehlavy",50.1359733,14.1051417,0,0,0,4,velmi dobrý stav,
idnes,Prodej bytu 3+kk 77 m²,10990000,77,3+kk,"Holubova, Horoměřice, okres Praha-západ",50.1363637337,14.3336667022,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 4+kk 73 m²,10590000,73,4+kk,"Amforová, Praha 5 - Stodůlky",50.043443,14.327344,1,1,0,4,po rekonstrukci,nevybaveny
idnes,Prodej bytu 3+kk 58 m²,4700000,58,3+kk,"Dolní Chvatliny, okres Kolín",49.979927,15.067584,0,0,0,,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 1+1 48 m²,3817455,48,1+1,"Pireas, Řecko",,,0,0,0,,velmi dobrý stav,vybaveny
idnes,Prodej bytu 4+kk 81 m²,10000000,81,4+kk,"Lipno nad Vltavou - Slupečná, okres Český Krumlov",48.64792996946085,14.217980942549532,1,1,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+kk 40 m²,2150000,40,2+kk,"Josefa Ševčíka, Most",50.4955672,13.6614793,1,0,0,6,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 3+1 72 m²,4500000,72,3+1,"Pohraniční stráže, Vyšší Brod, okres Český Krumlov",48.61492243037959,14.309397351251604,0,1,0,,velmi dobrý stav,vybaveny
idnes,Prodej bytu 3+1 69 m²,1699000,69,3+1,"Vintířov, okres Sokolov",50.2326646,12.7193952,0,1,0,2,velmi dobrý stav,vybaveny
idnes,Prodej bytu 3+1 74 m²,5350000,74,3+1,"Všeradice, okres Beroun",49.873108,14.108423,0,0,1,2,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 4+1 107 m²,3600000,107,4+1,"Havlíčkova, Frýdlant nad Ostravicí - Frýdlant, okres Frýdek-Místek",49.576586419994,18.354905277793,0,0,0,,velmi dobrý stav,
idnes,Prodej bytu 3+1 52 m²,4190000,52,3+1,"Hradební, Cheb",50.0788805,12.3668554,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 3+1 72 m²,6200000,72,3+1,"J. Bendy, České Budějovice - České Budějovice 2",48.98159802049914,14.438852643399334,1,1,0,3,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 1+1 37 m²,6490000,37,1+1,"Vorařská, Praha 4 - Modřany",50.0135091081,14.3999513599,1,0,1,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 3+kk 69 m²,6200000,69,3+kk,"Dvouletky, Zruč nad Sázavou, okres Kutná Hora",49.7459658,15.0881243,0,1,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 4+kk 92 m²,,92,4+kk,"Palackého, Kostelec nad Černými lesy, okres Praha-východ",49.98871573598054,14.855352188269038,0,1,1,3,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 97 m²,27990000,97,2+kk,"Polská, Praha 2 - Vinohrady",50.0787412719,14.4460549371,1,0,0,6,novostavba,
idnes,Prodej bytu 2+kk 68 m²,5990000,68,2+kk,"Masarykova, Mariánské Lázně, okres Cheb",49.9776296,12.7071857,0,0,0,2,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+1 64 m²,2540000,64,2+1,"Sídliště, Hroznětín, okres Karlovy Vary",50.3114161,12.8714893,0,1,0,3,velmi dobrý stav,
idnes,Prodej bytu 3+kk 66 m²,12700000,66,3+kk,"Musílkova, Praha 5 - Košíře",50.0685805107,14.3696852775,1,1,1,4,velmi dobrý stav,
idnes,Prodej bytu 2+1 63 m²,2850000,63,2+1,"Horská, Ostrov, okres Karlovy Vary",50.3103068,12.955135,0,0,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 4+1 70 m²,5900000,70,4+1,"Severní, Hradec Králové - Slezské Předměstí",50.220985,15.848515,0,1,0,2,před rekonstrukcí,
idnes,Prodej bytu 4+kk 83 m²,,83,4+kk,"Sicherova, Praha 9 - Kyje",50.1149056,14.5645036,0,1,0,3,velmi dobrý stav,
idnes,Prodej bytu 4+1 75 m²,5140000,75,4+1,"sídl. Svobody, Prostějov",49.469442322043,17.092894418268,0,1,0,1,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 3+1 70 m²,5900000,70,3+1,"Severní, Hradec Králové - Slezské Předměstí",50.220985,15.848515,0,1,0,2,před rekonstrukcí,
idnes,Prodej bytu 3+kk 71 m²,8950000,71,3+kk,"Letovská, Praha 9 - Letňany",,,0,1,0,3,dobrý stav,
