source,price_czk,area_m2,flat_type,locality,lat,lon,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership
sreality,1,99,4+kk,"Hausmannova, Praha 4 - Modřany",50.011822,14.417614,0,1,0,3,Po rekonstrukci,,osobni
sreality,10990000,95,3+kk,"Zborovská, Brno - Žabovřesky",49.213043,16.583559,0,0,0,1,Dobrý,,osobni
sreality,13490000,80,3+kk,"Kumpoštova, Brno - Sadová",49.230122,16.607656,1,1,0,1,Velmi dobrý,,osobni
sreality,7290000,72,3+1,"Hraniční, Olomouc - Nová Ulice",49.576553,17.234476,1,1,0,3,Po rekonstrukci,,osobni
sreality,7300000,62,2+kk,"Spáčilova, Brno - Černovice",49.187019,16.640478,0,0,0,3,Dobrý,,osobni
sreality,4190000,51,2+kk,"Bezručova, Mělník",50.354385,14.480088,1,1,0,4,Dobrý,castecne vybaveny,
sreality,8490000,113,3+1,"Nádražní, Chotětov",50.337566,14.80937,0,0,1,1,Po rekonstrukci,castecne vybaveny,osobni
sreality,7190000,92,2+1,"Nádražní, Chotětov",50.337566,14.80937,0,0,1,1,Po rekonstrukci,castecne vybaveny,osobni
sreality,4990000,51,2+1,"Nádražní, Chotětov",50.337566,14.80937,0,0,1,,Po rekonstrukci,castecne vybaveny,osobni
sreality,9990000,113,5+kk,"U Cihelny, Lysá nad Labem",50.202854,14.828429,0,0,1,2,Velmi dobrý,,osobni
sreality,4990000,26,1+kk,"Holečkova, Praha 5 - Košíře",50.0723,14.388198,0,0,0,1,Velmi dobrý,,osobni
sreality,7290000,38,2+kk,"Holečkova, Praha 5 - Košíře",50.0723,14.388198,0,0,0,2,Velmi dobrý,,osobni
sreality,8990000,51,2+kk,"Holečkova, Praha 5 - Košíře",50.0723,14.388198,0,0,0,4,Velmi dobrý,,osobni
sreality,11549000,58,2+kk,"Ke Kapslovně, Praha - Žižkov",50.08601,14.469324,1,1,1,3,Novostavba,,osobni
sreality,5500000,71,3+kk,"Tovární, Horní Bříza",49.850334,13.378098,1,1,1,3,Novostavba,,osobni
sreality,25990000,97,3+kk,"Polská, Praha 2 - Vinohrady",50.078445,14.443379,1,0,0,6,Po rekonstrukci,,osobni
sreality,8700000,70,3+1,"Prosecká, Praha 9 - Prosek",50.114189,14.485124,1,1,0,8,Velmi dobrý,castecne vybaveny,osobni
sreality,4990000,79,3+1,"Pátek, okres Nymburk",50.165516,15.158456,0,1,1,2,Dobrý,nevybaveny,osobni
sreality,11890000,107,4+1,"Ševčenkova, Brno - Bosonohy",49.172001,16.528475,0,1,0,1,Velmi dobrý,castecne vybaveny,osobni
sreality,13138000,70,3+kk,"Žitná, Praha",50.077267,14.425838,1,0,0,2,Velmi dobrý,vybaveny,osobni
sreality,12172000,58,2+kk,"Žitná, Praha",50.077267,14.425838,1,0,0,2,Velmi dobrý,vybaveny,osobni
sreality,6150000,60,2+kk,"Valtická, Plzeň - Severní Předměstí",49.76075,13.347691,0,0,0,4,Velmi dobrý,,osobni
sreality,1,69,3+1,"Na Fojtství, Ostrava - Hrabůvka",49.790482,18.268721,1,1,0,6,Před rekonstrukcí,nevybaveny,
sreality,9390000,78,3+kk,"Vondroušova, Praha - Řepy",50.063831,14.303275,1,1,0,6,Velmi dobrý,castecne vybaveny,osobni
sreality,7500000,33,1+kk,"Toufarova, Praha 5 - Stodůlky",50.043041,14.313431,0,1,1,1,Novostavba,,osobni
sreality,9290000,113,4+kk,"Harrachov, okres Jablonec nad Nisou",50.772087,15.431413,0,1,1,1,Velmi dobrý,vybaveny,osobni
sreality,8782903,56,2+kk,"Schoellerova, Praha 9 - Čakovice",50.161518,14.52365,1,1,1,5,Projekt,,osobni
sreality,11917901,72,3+kk,"Schoellerova, Praha 9 - Čakovice",50.161518,14.52365,1,1,1,3,Projekt,,osobni
sreality,5890000,38,1+kk,"Bratislavská, Brno - Zábrdovice",49.199638,16.620007,1,1,1,5,Novostavba,nevybaveny,osobni
sreality,4600000,57,2+1,"Stočesova, Praha 6 - Ruzyně",50.090744,14.298481,1,1,0,1,Novostavba,castecne vybaveny,
sreality,3900000,49,2+kk,"Jiráskova, Soběslav - Soběslav II",49.249454,14.711099,0,0,1,1,Novostavba,,osobni
sreality,10190000,92,3+1,"Vyšehořovická, Nehvizdy",50.129398,14.7376,0,1,0,3,Velmi dobrý,nevybaveny,osobni
sreality,18900000,96,3+1,"Krásova, Praha 3 - Žižkov",50.083855,14.446884,1,1,0,5,Velmi dobrý,vybaveny,osobni
sreality,8300000,69,3+kk,"Golfová, Praha 10 - Hostivař",50.048222,14.545099,0,1,0,3,Před rekonstrukcí,,osobni
sreality,1,88,3+1,"Pekařská, Blansko",49.372055,16.65023,0,1,0,1,Dobrý,,osobni
sreality,1,144,4+kk,"Smetanovo nábřeží, Vyškov - Vyškov-Předměstí",49.279312,17.005014,0,1,1,1,Velmi dobrý,,osobni
sreality,11349000,64,2+kk,"Návršní, Praha - Krč",50.039669,14.435565,1,1,0,3,Novostavba,nevybaveny,osobni
sreality,16995000,106,3+kk,"Strakonická, Praha 5 - Smíchov",50.064598,14.410204,1,1,0,7,Novostavba,,osobni
sreality,7694906,63,3+kk,"Ke Stadionu, Kladno",50.139145,14.092841,1,1,1,3,Ve výstavbě,,osobni
sreality,9490000,68,2+1,"Štítného, Praha 3 - Žižkov",50.085194,14.450959,0,0,0,3,Dobrý,nevybaveny,osobni
sreality,22900000,114,4+kk,"Olšanská, Praha 3 - Žižkov",50.082798,14.466343,1,1,1,1,Novostavba,nevybaveny,osobni
sreality,3080000,62,3+1,"Krásný Les, okres Liberec",50.939022,15.127942,0,0,1,3,Velmi dobrý,nevybaveny,osobni
sreality,8990000,79,3+1,"Dvořišťská, Praha 9 - Kyje",50.095013,14.54084,0,1,1,2,Velmi dobrý,,osobni
sreality,5699000,70,3+1,"Českobratrská, Olomouc - Nové Sady",49.582123,17.255695,0,1,0,4,Po rekonstrukci,castecne vybaveny,osobni
sreality,5238090,43,1+kk,"Floriánské náměstí, Kladno",50.146156,14.100867,0,0,0,1,Novostavba,,osobni
sreality,5490000,80,3+kk,"Pod Harfou, Praha 9 - Vysočany",50.104473,14.506492,1,1,0,3,Novostavba,,
sreality,6500000,82,3+1,"Mánesova, Boskovice",49.482197,16.642473,0,1,0,4,Dobrý,,osobni
sreality,7750000,66,3+kk,"Otakara Kubína, Boskovice",49.489445,16.647596,1,1,0,2,Novostavba,,osobni
sreality,8300000,66,3+kk,"Otakara Kubína, Boskovice",49.489445,16.647596,1,1,1,2,Novostavba,,osobni
sreality,8499500,50,2+kk,"V zahradách, Praha 8 - Libeň",50.115421,14.473253,1,0,0,1,Po rekonstrukci,nevybaveny,osobni
sreality,10990000,83,3+kk,"Jurkovičova, Praha 4 - Háje",50.025684,14.527186,1,1,1,2,Novostavba,castecne vybaveny,osobni
sreality,9650000,75,3+1,"Počernická, Praha 10 - Malešice",50.080761,14.495197,0,1,0,1,Po rekonstrukci,,osobni
sreality,3731500,86,5+1,"Zhořelecká, Česká Lípa",50.69508,14.543312,1,1,0,1,Dobrý,castecne vybaveny,osobni
sreality,3300000,70,3+1,"Zahradní, Česká Lípa",50.69072,14.523117,1,1,0,11,Před rekonstrukcí,nevybaveny,osobni
sreality,3500000,75,3+1,"Pavla Wonky, Česká Lípa",50.693249,14.555282,1,1,0,5,Dobrý,nevybaveny,osobni
sreality,1595000,32,2+kk,"Nemocniční, Krásná Lípa",50.916096,14.50738,0,0,0,3,Velmi dobrý,castecne vybaveny,osobni
sreality,2440000,55,2+kk,"Dubická, Česká Lípa",50.680267,14.530256,0,0,0,2,Velmi dobrý,nevybaveny,osobni
sreality,12490000,106,3+kk,"Na Plískavě, Praha 10 - Hostivař",50.051807,14.526802,0,1,1,2,Velmi dobrý,castecne vybaveny,osobni
sreality,5750000,60,2+kk,"Břeclav, okres Břeclav",48.758968,16.882032,0,1,0,2,Po rekonstrukci,,osobni
sreality,5620000,62,2+kk,"Břeclav, okres Břeclav",48.758968,16.882032,0,0,0,4,Po rekonstrukci,,osobni
sreality,4250000,37,1+kk,"Břeclav, okres Břeclav",48.758968,16.882032,0,1,0,1,Po rekonstrukci,,osobni
sreality,7490000,61,3+kk,"Boženy Němcové, Velké Přílepy",50.163139,14.302106,0,1,1,3,Velmi dobrý,,osobni
sreality,5100000,59,2+1,"Jungmannova, Pardubice - Zelené Předměstí",50.033504,15.764741,0,1,1,4,Dobrý,,osobni
sreality,7490000,96,5+kk,"Komenského, Uherský Ostroh",48.985241,17.390766,0,0,0,1,Po rekonstrukci,vybaveny,osobni
sreality,6990000,99,5+kk,"Komenského, Uherský Ostroh",48.985241,17.390766,0,1,0,2,Po rekonstrukci,vybaveny,osobni
sreality,7950000,45,1+1,"Osadní, Praha 7 - Holešovice",50.104298,14.446863,0,0,0,2,Velmi dobrý,,osobni
sreality,6990000,40,2+kk,"V zahradách, Praha 8 - Libeň",50.115421,14.473253,1,0,0,3,Po rekonstrukci,nevybaveny,osobni
sreality,6195000,55,2+1,"Vídeňská, Brno - Štýřice",49.182384,16.595076,0,1,0,3,Dobrý,,osobni
sreality,7395000,69,3+1,"Vídeňská, Brno - Štýřice",49.182384,16.595076,0,1,0,2,Dobrý,,osobni
sreality,4750000,31,1+1,"Vídeňská, Brno - Štýřice",49.182384,16.595076,0,1,0,1,Dobrý,,osobni
sreality,32038880,111,4+kk,"Šiklové, Praha 5 - Smíchov",50.067234,14.405532,1,1,1,6,Novostavba,nevybaveny,osobni
sreality,11928000,105,4+kk,"Harrachov - Nový Svět, okres Jablonec nad Nisou",50.77906,15.423818,1,1,1,2,Novostavba,,osobni
sreality,7892500,54,2+kk,"Harrachov - Nový Svět, okres Jablonec nad Nisou",50.77906,15.423818,1,1,1,4,Novostavba,,osobni
sreality,13120000,171,3+kk,"Harrachov - Nový Svět, okres Jablonec nad Nisou",50.77906,15.423818,1,1,1,1,Novostavba,,osobni
sreality,7950000,45,1+kk,"Štefánikova, Praha 5 - Smíchov",50.075527,14.40421,1,0,0,2,Velmi dobrý,,osobni
sreality,7900000,73,3+kk,"Horská, Vrchlabí - Hořejší Vrchlabí",50.650085,15.605046,0,1,1,2,Velmi dobrý,,osobni
sreality,2990000,46,2+kk,"Pod Harfou, Praha 9 - Vysočany",50.103973,14.508141,1,1,1,3,Novostavba,,osobni
sreality,7290000,58,2+1,"Bartákova, Brno - Líšeň",49.204964,16.678133,0,0,0,1,Dobrý,castecne vybaveny,osobni
sreality,8990000,55,2+kk,"Československého exilu, Praha 4 - Modřany",49.999729,14.417342,0,0,0,4,Po rekonstrukci,,osobni
sreality,2999000,51,2+kk,"Ocelkova, Praha",50.101559,14.569569,0,1,1,8,Novostavba,,
sreality,19990000,123,3+kk,"U Dívčích hradů, Praha 5 - Smíchov",50.05368,14.402461,0,1,1,1,Novostavba,,osobni
sreality,13690000,84,3+kk,"Ruská, Praha 10 - Vršovice",50.072868,14.463632,0,1,0,6,Po rekonstrukci,,osobni
sreality,14990000,80,3+kk,"V Rovinách, Praha 4 - Podolí",50.048271,14.428953,0,1,1,,Novostavba,,osobni
sreality,14100000,74,3+kk,"Zborovská, Praha 5 - Smíchov",50.076477,14.407201,1,0,0,5,Velmi dobrý,nevybaveny,osobni
sreality,6490000,72,3+1,"Na Hrázi, Trubín",49.94268,14.002376,0,1,1,1,Dobrý,castecne vybaveny,osobni
sreality,9490000,43,2+kk,"Černomořská, Praha 10 - Vršovice",50.070652,14.449091,1,1,0,1,Velmi dobrý,castecne vybaveny,osobni
sreality,5990000,28,1+kk,"Sochařská, Praha 7 - Bubeneč",50.101589,14.424498,0,0,0,1,Velmi dobrý,castecne vybaveny,osobni
sreality,14700000,70,2+kk,"Pitterova, Praha 3 - Žižkov",50.084858,14.469376,1,1,1,8,Novostavba,nevybaveny,osobni
sreality,19373005,119,3+kk,"Pod Krocínkou, Praha 9 - Vysočany",50.114468,14.509069,1,1,1,5,Novostavba,,osobni
sreality,11597281,72,3+kk,"Schoellerova, Praha 9 - Čakovice",50.161518,14.52365,1,1,1,2,Projekt,,osobni
sreality,12207113,77,3+kk,"Schoellerova, Praha 9 - Čakovice",50.161518,14.52365,1,1,1,2,Novostavba,,osobni
sreality,1,131,4+kk,"Malešická, Praha 3 - Žižkov",50.087059,14.470932,0,1,1,6,Novostavba,,osobni
sreality,9100000,97,4+1,"Vybíralova, Praha - Černý Most",50.10453,14.580214,0,1,0,2,Dobrý,castecne vybaveny,osobni
sreality,8200000,88,2+kk,"náměstí Svobody, Modřice",49.127789,16.616856,0,1,1,1,Velmi dobrý,vybaveny,osobni
sreality,16790000,162,3+kk,"Českobrodská, Mukařov - Žernovka",50.001232,14.760142,0,0,1,2,Novostavba,,osobni
sreality,10799000,71,3+kk,"Květinková, Praha 3 - Žižkov",50.089382,14.488245,1,1,1,5,Dobrý,nevybaveny,osobni
sreality,16290000,150,3+kk,"Českobrodská, Mukařov - Žernovka",50.001232,14.760142,0,0,1,2,Novostavba,,osobni
sreality,4990000,50,2+1,"Sídliště BSS, Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem",50.189144,14.648046,0,0,0,1,Velmi dobrý,nevybaveny,osobni
sreality,2989000,40,2+kk,"Husova, Přerov - Přerov I-Město",49.447968,17.445715,0,0,1,3,Po rekonstrukci,castecne vybaveny,osobni
sreality,13783000,89,3+1,"Zborovská, Praha 5 - Smíchov",50.072647,14.408483,1,0,0,4,Velmi dobrý,,osobni
sreality,1,57,2+kk,"Příční, Brno - Zábrdovice",49.200199,16.616045,1,1,1,2,Ve výstavbě,,osobni
sreality,1,34,1+kk,"Příční, Brno - Zábrdovice",49.200356,16.615982,1,1,1,1,Ve výstavbě,,osobni
sreality,1,68,3+kk,"Příční, Brno - Zábrdovice",49.200356,16.615982,1,1,1,4,Ve výstavbě,,osobni
sreality,4000000,43,2+1,"Na Letné, Olomouc - Lazce",49.605133,17.258789,0,0,0,8,Před rekonstrukcí,,osobni
sreality,8350000,61,2+kk,"Škvorecká, Úvaly",50.067783,14.734401,1,1,0,3,Novostavba,nevybaveny,osobni
sreality,1,81,2+kk,"Komárovská, Brno - Komárov",49.180222,16.619232,1,1,0,7,Novostavba,,osobni
sreality,36900000,247,,"Ke Smíchovu, Praha 5 - Hlubočepy",50.027157,14.373491,0,1,1,1,Novostavba,,osobni
sreality,1,113,4+kk,"Fuchsova, Brno - Trnitá",49.186913,16.612993,1,1,0,4,Novostavba,,osobni
sreality,1,139,3+kk,"Komárovská, Brno - Komárov",49.180222,16.619232,1,1,0,7,Novostavba,,osobni
